,name,address,county,ethnicity,GENDER,VETERAN,INCOME,NIGHTS,completed,probation,assistancetype,required,birthday,day_age,year_age,age_bracket,is_bday
15,Thomas Wallace,"451 Collins Ranch Suite 173
Gabrielshire, NE 13165",Port Shannon,4,1,0,2890.0,493,1,0,0,1,1976-01-10,16399,44,adult,False
16,Joshua Bishop,"1828 Lynn River
Johnsonborough, ID 81200",Jacobfurt,5,1,0,11492.0,434,0,0,1,0,2001-04-07,7180,19,adult,False
17,Deborah Navarro,"82750 Alicia Points Apt. 346
Lake Elizabethstad, VT 93208",Elaineville,5,0,1,9825.0,192,0,1,0,0,1985-07-17,12923,35,adult,False
18,Jeffery Dodson,"05574 Smith Trail Suite 361
Kevinmouth, WI 03989",South Elijahberg,3,0,0,2085.0,345,1,1,0,0,1991-01-17,10913,29,adult,False
19,Karen Rodriguez,"26817 Stephanie Stravenue Apt. 200
South Gregory, AZ 18384",Elaineville,2,0,1,731.0,120,1,1,0,0,1990-12-13,10948,29,adult,False
20,Joanna Robinson,"545 Patterson Ports Suite 378
Port Mary, MD 26821",Lake Kirsten,2,0,1,13781.0,473,1,0,1,1,2001-02-14,7232,19,adult,False
21,James Yates,"171 Ross Dale
Heatherfort, WV 18759",Elaineville,1,0,0,5190.0,289,0,1,0,1,2008-01-14,4707,12,12-15,False
22,Thomas Combs,"88512 Walters Port
New Tonya, NV 02328",Mcdonaldborough,4,1,1,3654.0,457,0,0,0,1,1977-03-27,15957,43,adult,False
23,Glenda Jacobs,"4186 Susan Mountains Suite 785
Lake Juliaton, NC 75256",Williamsberg,3,0,1,8437.0,69,1,0,0,0,2016-07-14,1603,4,4-6,False
24,Mr. Ricky Brandt,"542 Daniels Cliffs Apt. 957
Katelynhaven, HI 91346",Williamsberg,1,1,1,3429.0,511,0,1,1,1,1999-08-08,7788,21,adult,False
25,Benjamin Kidd,"04912 Erin Shoal Apt. 953
Villahaven, IN 65225",New Joseph,5,0,0,2110.0,239,0,1,1,1,1970-11-26,18270,50,adult,False
26,Monica Oconnor,"84211 Shannon Gardens Apt. 077
Patrickfort, CA 42866",North Elizabeth,3,0,0,9745.0,107,1,0,1,0,1972-01-30,17840,48,adult,False
27,Michael Rogers,"86535 Casey Estates
Karenside, MS 81832",Williamsberg,3,1,0,14041.0,227,0,1,1,1,1988-09-04,11778,32,adult,False
28,Tricia Jones,"904 Christina Plain Apt. 671
Lake Christopherview, ME 13922",South Heatherport,0,0,1,3869.0,316,1,0,0,0,1977-11-06,15733,43,adult,False
29,Tristan Collins,"8717 Raymond Ridge
East Michele, NJ 62915",South Heidiberg,3,0,0,582.0,198,0,0,0,0,2003-06-21,6375,17,16-18,False
30,Kenneth Edwards,"USCGC Garrett
FPO AA 39806",Port Shannon,0,1,1,2116.0,236,0,1,1,1,2000-03-25,7558,20,adult,False
31,Jessica Salazar MD,"86503 Heather Mill Suite 446
East Glenn, NV 10454",Jeffreymouth,5,0,0,7832.0,135,0,1,1,1,2015-05-24,2020,5,4-6,False
32,Emma Brown,"3584 Mariah Junctions
Melissabury, SD 89513",Elaineville,0,0,1,6300.0,511,0,0,1,0,2006-01-27,5424,14,12-15,False
33,Cynthia Petty,"86653 Rachel Estates Suite 510
Sarahview, TN 43801",Lake Kirsten,1,0,1,10700.0,201,1,1,1,0,2004-08-18,5951,16,16-18,False
34,Robert Wilson,"PSC 8335, Box 4125
APO AP 24224",Jeffreymouth,1,1,0,6161.0,118,1,0,1,1,2005-02-16,5769,15,12-15,False
35,Jerome Weaver,"27781 Tracey Loaf
New Aprilport, MO 15527",Mcdonaldborough,5,0,0,11037.0,354,0,1,1,0,2012-01-01,3259,8,7-11,False
36,Karen Scott,"74603 Melendez Park Suite 949
Gutierrezport, CA 17397",Lake Kirsten,1,1,0,13056.0,58,1,0,0,0,1972-10-28,17568,48,adult,False
37,Andrea Holt,"0995 Craig Corners
New Michael, PA 85115",Ruizchester,0,1,0,13479.0,159,0,0,1,1,1985-12-30,12757,34,adult,False
38,Joanne Barker,"75492 Ruben Fort Suite 619
Westtown, IA 12411",Port Shannon,3,1,0,13844.0,155,1,1,1,0,1997-09-30,8465,23,adult,False
39,Michele Brewer,"52917 Hartman Gardens
Elliottton, MN 21058",North Elizabeth,3,1,1,12571.0,482,1,0,1,0,1976-08-18,16178,44,adult,False
40,Linda Jefferson,"USNS Johnson
FPO AE 76472",West Jennifer,0,1,0,8083.0,65,0,1,0,1,2007-03-08,5019,13,12-15,False
41,Derrick Singh,"PSC 9370, Box 5626
APO AE 16408",Smithfurt,2,1,1,10067.0,64,0,1,0,0,2009-07-21,4153,11,7-11,False
42,Adam Zuniga MD,"2678 Barnes Fords
East Thomas, NC 90829",Jeffreymouth,4,1,0,8389.0,369,1,0,1,0,2001-07-08,7088,19,adult,False
43,Charles Scott,"607 Daniel Hollow Suite 628
Garciaville, WV 27113",Port Shannon,3,0,1,8963.0,119,1,1,0,1,1986-09-19,12494,34,adult,False
44,Jeffrey Bradley,"039 Gregory Light Apt. 804
East Rebeccamouth, FL 67009",Stephanieville,0,1,0,13128.0,100,1,0,1,1,2013-05-04,2770,7,7-11,False
45,Mike Elliott,"4171 Heather Lights
Christinastad, ND 75179",New Joseph,3,0,1,14362.0,496,0,0,1,1,1984-04-13,13383,36,adult,False
46,Charles Santos,"24491 Melinda Plaza
Jacquelineside, MN 85587",West Paul,5,0,0,10478.0,499,0,1,1,1,1976-09-23,16142,44,adult,False
47,Laura Murray,"2660 Sarah Green
Robertmouth, NM 78975",New Denise,3,0,0,6607.0,368,0,1,0,0,2004-08-19,5950,16,16-18,False
48,Richard Cooper,"61411 Andrea Curve Apt. 483
Kelleyborough, NH 92963",New Joseph,2,1,1,3246.0,111,0,1,1,0,1988-04-25,11910,32,adult,False
49,Elizabeth Adams,"50565 Bowman Station
North Jeffreyfort, PA 81957",West Paul,1,0,0,4521.0,49,1,1,1,0,1991-03-08,10863,29,adult,False
50,Curtis Coleman,"191 Collins Falls
New Amanda, ND 18607",Port Shannon,4,0,1,10990.0,187,1,0,0,1,2008-02-13,4677,12,12-15,False
51,Robert Anderson,"1375 Reed Park Apt. 113
North Haley, SC 59911",Jeffreymouth,1,1,1,6843.0,464,1,1,1,1,1997-05-13,8605,23,adult,False
52,Catherine Rubio,"9413 Smith Falls Suite 041
North Brandonburgh, SC 74518",Elaineville,5,1,0,5211.0,358,1,0,1,1,1990-02-16,11248,30,adult,False
53,Carmen Davis DDS,"71125 Miller Glens Suite 203
Chadtown, ID 66614",Ruizchester,1,1,1,11768.0,93,0,0,1,1,2013-01-09,2885,7,7-11,False
54,Kimberly Steele,"790 Adam Ports
West Michaelchester, CT 78542",Port Shannon,0,1,1,8261.0,247,1,0,1,1,2005-01-10,5806,15,12-15,False
55,Jessica Ward,"631 David Light Suite 051
Desireeport, FL 60671",Stephanieville,3,1,0,4143.0,31,0,1,0,1,2010-03-11,3920,10,7-11,False
56,Kristin Walton,"8060 Wayne Pass
Nicoleview, GA 05661",Williamsberg,5,1,0,2830.0,25,0,0,1,1,2000-11-23,7315,20,adult,False
57,Sylvia Riddle,"43978 Kristy Springs
East Kristina, NV 12465",New Denise,3,0,1,15077.0,185,1,0,1,0,1975-10-04,16497,45,adult,False
58,Dustin Hines,"992 Miller Ville Suite 625
Port Brandi, IA 00941",South Heidiberg,3,1,0,15098.0,508,0,0,1,0,1997-06-07,8580,23,adult,False
59,Mario Patterson,"39169 Jenna Canyon Suite 976
Lisamouth, NH 38739",South Heatherport,4,1,1,1490.0,311,1,0,1,1,2020-02-08,299,0,,False
60,Michael Edwards,"3292 Leslie Mills Suite 166
Davilaborough, OR 12116",Mcdonaldborough,1,0,1,3736.0,329,0,1,1,0,2011-08-26,3387,9,7-11,False
61,Christine Wright,"PSC 6834, Box 1144
APO AE 50302",Lake Kirsten,5,0,1,10829.0,436,0,0,1,1,2011-11-28,3293,9,7-11,False
62,Barbara Long,"598 Brown Villages
Lake John, MO 76314",New Jasmin,0,0,1,10601.0,411,0,1,0,0,1981-07-20,14381,39,adult,False
63,Yvonne Marsh,"491 Robinson Burgs Suite 109
Rodriguezmouth, LA 69380",New Denise,5,1,1,8548.0,154,1,1,0,0,1979-11-19,14990,41,adult,False
64,Brooke Martinez,"27414 Garcia Mission Suite 234
West Teresamouth, TX 40089",Currytown,2,0,1,8449.0,298,1,1,0,0,1980-06-30,14766,40,adult,False
65,Sarah Jackson,"1525 Miller Rapid
South Alexis, VA 22186",North Elizabeth,5,1,1,4881.0,256,0,1,1,0,1997-12-24,8380,22,adult,False
66,Timothy Mitchell,"7980 Bianca Pass Suite 746
North Larry, LA 30703",South Elijahberg,4,1,0,2343.0,383,0,0,0,0,1995-09-28,9198,25,adult,False
67,Daniel Shelton,"PSC 5224, Box 5419
APO AA 20155",Currytown,4,1,1,5922.0,30,1,0,0,0,1973-01-25,17479,47,adult,False
68,Miss Sheryl Murphy,"USS Smith
FPO AE 32328",Lake Kirsten,0,1,1,7903.0,342,1,0,1,0,2000-03-12,7571,20,adult,False
69,Kyle Massey,"957 Lynn Lodge Apt. 359
Port Heather, GA 09939",Lake Kirsten,0,0,0,9897.0,517,1,1,1,1,1980-05-01,14826,40,adult,False
70,Joseph Glover,"294 Hawkins River Apt. 730
Stewartville, MN 01125",Currytown,0,1,1,4553.0,86,0,0,0,1,1985-03-04,13058,35,adult,False
71,Suzanne James,"USS Wood
FPO AP 51071",South Heatherport,1,0,1,6491.0,412,0,1,1,1,1976-09-23,16142,44,adult,False
72,Jodi Stone,"PSC 9702, Box 5811
APO AE 83154",Currytown,5,1,0,15305.0,150,1,0,0,1,1989-02-19,11610,31,adult,False
73,Amber Silva,"1680 Roberts Stream
Robertsfort, UT 70358",New Jasmin,4,1,0,6381.0,181,0,0,0,1,1999-02-01,7976,21,adult,False
74,Kimberly Brewer,"12390 Tina Hollow
Port Amy, TX 03008",South Heidiberg,2,0,1,7127.0,27,0,1,0,1,2015-12-05,1825,4,4-6,False
75,Kelli Lopez,"502 Torres Motorway
Buchananville, IA 69313",South Elijahberg,4,0,1,9380.0,507,0,0,1,0,1992-03-29,10476,28,adult,False
76,Frank May,"56625 Kathryn Heights
Charlestown, AK 88543",North Elizabeth,2,1,1,8588.0,495,0,0,1,1,1994-06-16,9667,26,adult,False
77,Michael Hall,"97161 Odonnell Parkway Suite 806
Contrerasville, WA 86369",Lake Kirsten,2,1,0,7668.0,451,0,0,1,1,1996-04-16,8997,24,adult,False
78,Sean Garcia,"25142 Ray Mission Apt. 827
West Timchester, VT 64147",Elaineville,5,1,0,8528.0,423,1,0,0,1,1972-07-26,17662,48,adult,False
79,David Lindsey,"46642 Cody Rue Suite 841
Lake Carolbury, CA 18008",Elaineville,0,0,0,1910.0,168,1,0,0,1,1994-05-04,9710,26,adult,False
80,Catherine Barnes,"45115 Anthony Island Apt. 272
Scottview, OR 79261",West Jennifer,2,1,0,8594.0,38,1,1,0,0,1998-07-20,8172,22,adult,False
81,Valerie Holloway,"04808 John Shore
Gamblebury, NE 00993",Smithfurt,1,0,0,15300.0,214,1,1,0,1,1986-10-05,12478,34,adult,False
82,Tara White,"51952 Taylor Mission Apt. 964
West Christina, MI 42668",New Jasmin,5,1,0,14481.0,37,1,0,0,0,2014-06-11,2367,6,4-6,False
83,John Rodriguez,"37366 Donald Island Suite 956
West Danamouth, IA 37601",Williamsberg,0,1,0,8262.0,90,0,0,1,1,1973-10-31,17200,47,adult,False
84,Jason Stephens,"071 Edwin Mews Suite 844
Port Amy, OH 82820",Williamsberg,1,0,1,15079.0,395,1,0,1,0,2002-09-20,6649,18,16-18,False
85,Benjamin Marks,"53980 Allen Cliff Suite 619
Judyport, MD 94265",Port Shannon,0,1,0,6724.0,368,1,1,0,0,2019-05-01,582,1,0-3,False
86,Joel Valdez,"87946 Fisher Inlet Apt. 174
Port Angelamouth, MO 20156",South Heidiberg,5,0,1,14231.0,311,1,1,1,1,2010-09-23,3724,10,7-11,False
87,Gloria Mclaughlin,"6880 Waller Rapids Apt. 612
East Lauren, AR 19480",New Jasmin,0,0,0,12812.0,129,0,0,1,0,1988-11-06,11715,32,adult,False
88,Kyle Williams,"82632 Donald Forges Apt. 625
Daltonstad, MD 20962",Smithfurt,3,0,1,11202.0,416,0,0,1,0,1993-10-27,9899,27,adult,False
89,Gina Weber,"4572 Patterson Stravenue
Lake Juanfurt, IN 48559",New Joseph,4,1,1,10681.0,260,1,0,1,0,2015-03-21,2084,5,4-6,False
90,Taylor Williams,"2499 Abigail Parkway
Port Kathleentown, WY 29849",South Elijahberg,2,1,1,11413.0,18,1,1,1,0,2011-10-15,3337,9,7-11,False
91,Rachel Moore,"9167 Francis Oval Suite 052
West Billy, MS 08053",Smithfurt,0,0,1,4864.0,92,1,1,0,0,1998-09-15,8115,22,adult,False
92,Dr. Ashley Allen,"750 Michelle Shoals Suite 499
Anatown, NH 31505",Lake Kirsten,4,1,0,14064.0,423,0,1,0,1,2017-03-04,1370,3,0-3,False
93,Katherine Jimenez,"USNS Harmon
FPO AE 21707",West Paul,4,0,1,2102.0,167,1,1,0,1,1971-01-08,18227,49,adult,False
94,Gloria Wilson,"717 Tonya Union Suite 349
New Stephanie, ND 39859",West Paul,1,0,1,4045.0,211,0,1,1,1,1990-02-22,11242,30,adult,False
95,Mr. Steven Khan,"8070 Lopez Cliffs
South Margaret, MO 40997",New Denise,5,1,0,4948.0,170,0,0,0,1,1991-05-24,10786,29,adult,False
96,Jordan Williams DVM,"9976 Mark Vista Suite 037
West Christina, DE 13785",New Joseph,0,1,0,4476.0,139,1,0,1,1,1988-10-19,11733,32,adult,False
97,Timothy Stone,"PSC 4531, Box 6171
APO AP 87446",Elaineville,2,1,1,7687.0,352,1,0,1,0,1978-06-22,15505,42,adult,False
98,Catherine Elliott,"35293 Bryan Road
East Stephanieview, OH 63240",Williamsberg,5,0,1,7206.0,204,1,0,0,0,2016-07-29,1588,4,4-6,False
99,Tara Tran,"82779 Mary Manor
Katherineburgh, IL 08785",North Elizabeth,5,1,0,7246.0,430,1,1,0,0,2003-08-01,6334,17,16-18,False
100,Mary Jackson,"866 Mclaughlin Lodge
East Julie, MA 38127",Port Shannon,4,1,0,8506.0,524,1,1,0,0,1986-11-09,12443,34,adult,False
101,Nicholas Salinas,"56689 Denise Groves
Angelabury, IL 13809",New Joseph,4,0,0,10317.0,383,1,1,0,0,2006-08-21,5218,14,12-15,False
102,Darlene Thomas,"7989 Sheila Cliffs
Thorntonton, VT 02708",West Paul,5,0,0,10696.0,408,0,0,1,1,1976-01-11,16398,44,adult,False
103,Joseph Martinez,"0010 Guerrero Rapids Suite 304
Ambertown, AR 98512",Mcdonaldborough,0,1,1,11517.0,114,1,0,0,1,1981-03-11,14512,39,adult,False
104,Manuel Barrett,"6428 Jennifer Circles
Bruceside, MD 53892",Gonzalezhaven,1,0,1,867.0,316,1,1,0,1,1996-10-07,8823,24,adult,False
105,Samantha Livingston,"279 Erica Creek
Amyport, IA 54036",Williamsberg,5,1,0,2817.0,10,1,1,1,1,1977-01-31,16012,43,adult,False
106,Mary Ho,"13699 Elliott River Suite 568
East William, CA 90075",New Joseph,0,0,1,8532.0,46,1,0,0,0,1975-12-12,16428,44,adult,False
107,Alison Yoder,"68916 Bradley Branch
Andersonton, IL 16577",Currytown,0,1,1,6549.0,260,1,1,1,1,1999-01-09,7999,21,adult,False
108,Jeanette Williams,"5155 Scott Road Suite 036
New Amber, KY 23302",Port Shannon,2,0,1,7808.0,90,1,1,1,0,1971-06-07,18077,49,adult,False
109,Debra Grant,"6885 Kent Rest
Lake Deborah, AZ 13756",New Denise,0,1,0,11678.0,451,1,0,0,0,1985-03-12,13050,35,adult,False
110,Debbie Schmidt,"3613 Pennington Row
Port Angelaburgh, VA 89380",Gonzalezhaven,4,0,1,13928.0,354,1,0,1,0,1991-10-28,10629,29,adult,False
111,Alexandra Hutchinson,"7556 Fields Manor
West Shannonberg, MN 95813",Mcdonaldborough,3,0,0,11762.0,402,0,1,1,1,2020-05-22,195,0,,False
112,Emily Cook,"460 Lara Station Apt. 219
North Taylormouth, KS 13644",Smithfurt,0,1,1,6956.0,163,1,1,1,0,1999-08-20,7776,21,adult,False
113,Justin Gibson,"2174 Christina Stravenue Apt. 631
South Jacqueline, HI 46513",New Denise,2,0,1,3827.0,304,1,1,0,1,1987-07-07,12203,33,adult,False
114,Brittney Lee,"20694 Dixon Skyway Apt. 941
Chloebury, CA 96594",South Heatherport,2,0,1,684.0,313,0,0,0,0,1991-05-20,10790,29,adult,False
115,Rebekah Price,"6520 Austin Expressway Apt. 017
Gonzalesside, AL 26146",New Jasmin,5,1,1,2776.0,334,0,1,0,1,1986-03-17,12680,34,adult,False
116,Grace Hall,"6886 Allison Lights Suite 925
Port Taylorport, DE 10471",South Elijahberg,1,1,1,14751.0,76,0,0,0,0,1986-03-22,12675,34,adult,False
117,Holly Nguyen,"2905 Black Crossing Suite 923
Daisyborough, RI 19795",New Joseph,0,0,0,3186.0,428,0,1,1,1,2004-12-29,5818,15,12-15,False
118,Elizabeth Stewart,"3117 Robert Lake Apt. 101
Lucasside, CT 45911",West Jennifer,4,0,0,2508.0,181,0,0,1,0,2015-02-27,2106,5,4-6,False
119,Ryan Mccullough,"7478 Jason Knolls Suite 251
Wilsonmouth, NJ 61232",West Jennifer,5,0,0,7588.0,287,0,1,0,0,2000-03-03,7580,20,adult,False
120,Kara Mitchell,"Unit 9984 Box 0963
DPO AE 59100",South Heidiberg,4,0,1,6805.0,83,0,1,0,0,1995-04-04,9375,25,adult,False
121,Louis Davis,"911 Travis Canyon Apt. 647
Ruizland, IL 91470",Elaineville,2,1,1,7918.0,163,1,0,1,0,1986-09-13,12500,34,adult,False
122,Gregg Johnson,"527 Cunningham Row Apt. 682
South Linda, AL 94522",West Jennifer,0,0,0,11295.0,445,1,0,1,1,1977-04-02,15951,43,adult,False
123,Theresa Morgan,"Unit 1605 Box 1504
DPO AP 63960",Ruizchester,2,0,0,7705.0,27,0,0,1,0,1978-11-05,15369,42,adult,False
124,Patricia Donaldson,"7135 Hernandez Road Suite 547
Murraybury, OH 40589",Mcdonaldborough,1,1,0,14037.0,284,0,1,1,0,1975-01-13,16761,45,adult,False
125,Joseph Davidson,"138 Theresa Prairie
Turnerton, NV 82971",Mcdonaldborough,3,0,1,6547.0,282,0,0,0,0,2001-04-21,7166,19,adult,False
126,Jeremy Lara,"4446 Martha Plain
North Michaelfurt, AL 85634",Williamsberg,4,0,0,13517.0,298,0,1,1,1,1980-05-27,14800,40,adult,False
127,Sandra Rich,"23616 Smith Island Suite 312
New Amber, ID 38299",Stephanieville,1,0,0,12842.0,200,1,0,0,0,1980-05-05,14822,40,adult,False
128,Justin Proctor,"266 Jesse Ways
East Jamesfurt, OR 41789",Currytown,5,0,1,9420.0,115,1,0,0,0,2017-01-25,1408,3,0-3,False
129,Brianna Rodriguez,"84305 Anthony Orchard
Meghanview, OH 80649",South Elijahberg,1,0,1,10937.0,223,1,0,0,1,1978-09-05,15430,42,adult,False
130,Ashley Ortega,"94873 Maria Mall
Isabellaview, AR 03265",South Elijahberg,0,1,0,4674.0,198,1,1,0,0,2001-07-31,7065,19,adult,False
131,Michael Bell,"62794 Price Curve
Danielport, NE 17007",Port Shannon,3,0,0,10213.0,326,1,1,1,0,2001-12-28,6915,18,16-18,False
132,Matthew Jensen,"89932 Penny Plaza Apt. 073
North Kaitlynland, SD 99931",Currytown,3,1,1,7826.0,368,0,1,1,0,1982-03-31,14127,38,adult,False
133,Jeffrey Wolfe,"024 Jose Villages
East Allenchester, LA 38885",Smithfurt,1,0,1,9194.0,493,0,0,1,0,2001-09-08,7026,19,adult,False
134,Shane Hunter,"Unit 9308 Box 1178
DPO AP 34710",Smithfurt,4,1,0,10325.0,74,1,1,1,0,2016-03-09,1730,4,4-6,False
135,William Moore,"84829 Zachary Terrace Apt. 531
West Austin, DC 73884",Currytown,1,0,0,7421.0,265,0,1,1,1,1992-02-15,10519,28,adult,False
136,Stephen Wood,"08746 Washington Ports Apt. 692
Floresbury, TX 91455",Gonzalezhaven,5,0,1,8835.0,511,0,1,1,1,2007-11-04,4778,13,12-15,False
137,Misty Sherman,"5911 Proctor Glens Suite 340
Lake Brooketon, MN 03336",Lake Kirsten,2,0,0,12012.0,349,1,1,1,1,2020-04-08,239,0,,False
138,Carolyn Patel,"4849 Matthew Well Apt. 722
Lake Williamport, IL 57316",West Paul,0,0,0,13279.0,164,1,1,0,1,1975-02-05,16738,45,adult,False
139,Paul Johnson,"652 Wendy Terrace
North Michael, HI 07104",North Elizabeth,4,1,1,12632.0,42,1,1,0,1,2009-07-21,4153,11,7-11,False
140,Michelle Goodwin,"91262 Sean Lights
West Markmouth, RI 04828",Port Shannon,1,0,1,5324.0,300,0,0,0,0,1994-08-14,9608,26,adult,False
141,Susan Smith,"4471 Valdez Islands
Markshire, MI 82288",South Elijahberg,4,1,1,1620.0,232,1,0,0,1,1974-01-04,17135,46,adult,False
142,Scott Kramer,"9481 Weaver Place
East Arthurport, DE 84139",South Heidiberg,2,0,0,11743.0,269,0,0,1,1,1998-02-09,8333,22,adult,False
143,Mario Patterson,"63456 Frederick Walks Suite 295
East Jenniferburgh, WI 16590",Elaineville,2,0,1,14020.0,141,0,1,0,1,1990-08-11,11072,30,adult,False
144,David Christian,"60849 Briana Manor
East Sarah, TX 46415",New Jasmin,4,0,0,1194.0,103,1,1,0,0,1979-01-07,15306,41,adult,False
145,Heather Lopez,"03710 Kenneth Cove
Sherriton, SD 76629",Mcdonaldborough,3,0,0,5891.0,287,0,0,0,1,2011-07-09,3435,9,7-11,False
146,Chad Blackwell,"743 Tiffany Circle
Arroyofort, NV 13701",Stephanieville,3,1,1,9418.0,341,1,1,0,0,2010-02-20,3939,10,7-11,False
147,Jacqueline Walton,"19970 Pearson Gateway Apt. 209
Natalieberg, MD 01151",Mcdonaldborough,1,1,1,11570.0,248,1,1,1,1,1989-10-04,11383,31,adult,False
148,Dominic Finley,"1059 Beverly Court Suite 744
Murraystad, IL 98354",Currytown,4,1,1,10197.0,212,0,0,1,1,2018-03-13,996,2,0-3,False
149,Teresa Thompson,"8937 Shields Mount Apt. 037
North Kimberlyfurt, NE 71743",Lake Kirsten,5,1,1,13396.0,176,1,1,0,0,2015-11-09,1851,5,4-6,False
150,Craig Simpson,"Unit 0584 Box 2943
DPO AP 22736",South Elijahberg,5,0,1,5409.0,32,1,1,0,0,2014-03-20,2450,6,4-6,False
151,Lisa Thompson,"156 John Squares Apt. 004
South Jenniferberg, OR 12667",Jeffreymouth,1,1,0,9935.0,185,0,1,1,1,1993-11-13,9882,27,adult,False
152,Derrick Davis,"USS Chase
FPO AP 34685",Mcdonaldborough,4,0,1,14644.0,190,1,1,0,1,2003-09-20,6284,17,16-18,False
153,Chad Mendoza,"97128 Lisa Plaza Apt. 725
New Normanshire, ID 13160",Elaineville,3,1,1,993.0,96,1,1,1,0,2016-08-02,1584,4,4-6,False
154,Raymond Smith,"84543 Parker Ferry
East Janicemouth, MD 94578",Lake Kirsten,2,1,0,309.0,116,0,0,1,0,2008-01-29,4692,12,12-15,False
155,Toni Bowers,"87656 Lara Mill Apt. 138
Blackwellview, IN 94233",Jacobfurt,0,0,1,9852.0,51,1,0,0,0,1980-12-22,14591,39,adult,False
156,Jeffery Nelson,"800 Gloria Squares Suite 104
Port Lesliebury, PA 53438",Smithfurt,5,1,0,4539.0,524,1,0,1,0,2005-11-22,5490,15,12-15,False
157,Carla Armstrong,"05413 Stacy Pines Apt. 418
Donnaborough, PA 92831",Currytown,4,1,1,9369.0,118,0,1,1,1,2016-01-24,1775,4,4-6,False
158,Willie Davidson,"643 Michael Inlet
South Kennethland, UT 02788",West Paul,4,1,1,9677.0,320,1,1,0,0,1996-05-29,8954,24,adult,False
159,Lindsey Potts,"75508 Rebecca Cape
South Catherineburgh, ND 53713",North Elizabeth,1,0,1,6853.0,204,0,1,0,1,1977-03-18,15966,43,adult,False
160,Roger Craig,"Unit 4859 Box 9479
DPO AE 76785",North Elizabeth,4,1,0,8787.0,347,1,0,0,0,2003-09-10,6294,17,16-18,False
161,Sarah Hunter,"045 Christy Manors Suite 406
South Madison, MN 17292",Lake Kirsten,1,0,1,11935.0,421,1,1,0,1,2005-04-25,5701,15,12-15,False
162,Amanda Keller,"381 Huang Place Suite 303
Brownberg, NY 01072",Mcdonaldborough,5,1,0,12844.0,2,1,1,0,1,2003-06-07,6389,17,16-18,False
163,Alexandra Smith,"53072 Michael Views
Watsonchester, NJ 58748",New Joseph,2,0,0,5206.0,261,0,0,0,0,1975-07-09,16584,45,adult,False
164,Karina George,"817 Brenda Freeway Suite 585
Dannyfort, VT 91330",West Paul,0,1,0,2134.0,450,0,0,1,0,2007-03-20,5007,13,12-15,False
165,Colleen Griffin,"02213 Sanchez Dam
Lake Scottchester, AK 98273",West Paul,1,0,1,9733.0,60,1,0,0,1,1974-03-24,17056,46,adult,False
166,Ronald Nash,"4133 Torres Prairie Apt. 575
East Josefurt, SC 66637",New Denise,5,0,1,11743.0,217,1,0,1,0,1977-11-11,15728,43,adult,False
